epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,7533.02,0.78484,0.34965,1.05957,0.92154,0.92372,0.97034,0.67362,1.08076,0.34379,1.34732,0.0089506,0.0089506,0.0089506
55,7672.92,0.7795,0.34943,1.05585,0.88718,0.94013,0.9603,0.6624,1.08094,0.34317,1.34823,0.0089308,0.0089308,0.0089308
56,7812.7,0.77089,0.34736,1.05061,0.89585,0.94107,0.96358,0.66773,1.08181,0.34142,1.35028,0.008911,0.008911,0.008911
57,7951.95,0.77256,0.34802,1.05259,0.92639,0.91238,0.96393,0.6698,1.08413,0.34286,1.35391,0.0088912,0.0088912,0.0088912
58,8091.27,0.76557,0.34336,1.04641,0.93189,0.90579,0.96287,0.66622,1.08516,0.34295,1.35604,0.0088714,0.0088714,0.0088714
59,8230.44,0.76299,0.34573,1.04543,0.93821,0.89812,0.95883,0.66948,1.08711,0.34467,1.36047,0.0088516,0.0088516,0.0088516
60,8369.36,0.75665,0.33909,1.04145,0.92824,0.90448,0.95877,0.67062,1.08717,0.34556,1.36235,0.0088318,0.0088318,0.0088318
61,8508.15,0.75364,0.33918,1.04022,0.9276,0.91139,0.95976,0.67203,1.08633,0.3446,1.3631,0.008812,0.008812,0.008812
62,8647.59,0.74455,0.33451,1.03725,0.93065,0.90994,0.959,0.67428,1.08559,0.34421,1.36475,0.0087922,0.0087922,0.0087922
63,8786.97,0.74672,0.33715,1.03623,0.93341,0.91329,0.96122,0.67776,1.08476,0.34189,1.36527,0.0087724,0.0087724,0.0087724
64,8925.44,0.74095,0.33549,1.03206,0.9316,0.91485,0.96294,0.67629,1.08522,0.34174,1.3682,0.0087526,0.0087526,0.0087526
65,9064.45,0.73535,0.3352,1.02892,0.92445,0.91714,0.96118,0.67335,1.08542,0.34173,1.37068,0.0087328,0.0087328,0.0087328
66,9203.64,0.72815,0.33113,1.02605,0.93877,0.90824,0.96332,0.67374,1.08633,0.34053,1.37363,0.008713,0.008713,0.008713
67,9342.98,0.72364,0.32991,1.0241,0.93739,0.90479,0.96071,0.67313,1.08692,0.34132,1.37592,0.0086932,0.0086932,0.0086932
68,9481.86,0.72273,0.32944,1.02222,0.93724,0.90611,0.9624,0.67627,1.08816,0.34152,1.37782,0.0086734,0.0086734,0.0086734
69,9620.99,0.7176,0.32797,1.01896,0.93596,0.90287,0.95781,0.67656,1.08908,0.34182,1.38029,0.0086536,0.0086536,0.0086536
70,9760.12,0.71081,0.32643,1.01773,0.93457,0.90254,0.95804,0.67628,1.08922,0.34175,1.38201,0.0086338,0.0086338,0.0086338
